4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
4292, 2
979, -1
297, -1
130, -1
10903, 13
5354, 1
